the friend	el amigo
It is 9:30 (It is nine o’clock plus thirty minutes)	Son las nueve y treinta
It is 8:30 (It is eight o’clock plus a half hour)	Son las ocho y media
It is 2:50 (It is three o’clock minus ten minutes)	Son las tres menos diez
It is 10:55 (It is eleven o’clock minus five minutes)	Son las once menos cinco
It is 8:45 (It is nine o’clock minus a quarter hour)	Son las nueve menos cuarto
It is 11:45 (It is twelve o’clock minus fifteen minutes)	Son las doce menos quince
Five (minutes) to three (o’clock)	Cinco para las tres
Twenty-five (minutes) to two (o’clock)	Veinticinco para las dos
Fifteen (minutes) to six (o’clock)	Quince para las seis
At what hour? At what time?	¿A qué hora?
At one o’clock	A la una
At two o’clock	A las dos
At three o’clock	A las tres
At 4:10	A las cuatro y diez
At 5:15	A las cinco y cuarto
At 6:05	A las seis y cinco
At 7:03	A las siete y tres
At 8:30	A las ocho y media
At 8:45	A las nueve menos quince
At 9:40	A las diez menos veinte
At 10:35	A las once menos veinticinco
At 12:50	A la una menos diez
full	lleno
the atmosphere	el ambiente
holiday	un día de fiesta
a drink	una bebida
small appetizers, Spanish style	tapas
chicken, meat, fish	pollo, carne, pescado
potatoes, vegetables, salad, dessert	sopa, papas, vegetales, ensalada, postre
everything	todo
the water	el agua
the breakfast	el desayuno
the lunch	el almuerzo
the tax	el impuesto
the waiter	el camarero
the tablecloth	el mantel
the menu	la carta
the supper	la cena
the check	el cheque
the plate	el plato
the tip	la propina
the napkin	la servilleta
the credit card	la tarjeta de crédito
the spoon	la cuchara
the knife	el cuchillo
the fork	el tenedor
the glass	el vaso
warm, hot	caliente
spicy	picante
fresh	fresco
healthy	sano
cold	frío
dry	seco
dirty	sucio
empty	vacío
It is midday / It is noon	Es mediodía
It is midnight	Es medianoche
It is early	Es temprano
It is late	Es tarde
one time, once	una vez
double	doble
two times, twice	dos veces
triple	triple
three times	tres veces
(a) half	la mitad
the pillow	la almohada
the vacuum cleaner	la aspiradora
a mess	un desorden
the broom	la escoba
the sponge	la esponja
the ice cream	el helado
the dishwasher	el lavaplatos
the stain	la mancha
the work, the job	el oficio
the dust	el polvo
the clothes	la ropa
the sheet	la sábana
at the beginning	al principio
it’s another story	es otro cuento
at least	por lo menos
to sing	cantar
to dance	bailar
to go down, to descend	bajar
to walk	caminar
to cook	cocinar
to buy	comprar
to answer	contestar
to rest	descansar
to enter (in)	entrar (en)
to listen to	escuchar
to study	estudiar
to speak	hablar
to clean	limpiar
to arrive	llegar
to look at	mirar
to swim	nadar
to practice	practicar
to return	regresar
to work	trabajar
to travel	viajar
to eat	comer
to learn	aprender
to drink	beber
to understand	comprender
to run	correr
to read	leer
to put in	meter
to turn on	prender
to break	romper
to sell	vender
to live	vivir
to open	abrir
to share	compartir
to decide	decidir
to describe	describir
to discuss	discutir
to write	escribir
to receive	recibir
to go up, to ascend	subir
to suffer	sufrir
should, ought to, must (plus infinitive), to owe	deber
to win, to earn	ganar
to carry, to wear	llevar
to pass (by), to happen, to spend (time)	pasar
to touch, to play (an instrument)	tocar
to take, to have (something to drink), to have (breakfast, lunch, dinner)	tomar
period of time	la época
to be sure	estar seguro(a)
to breathe	respirar
to be three miles from	estar a tres millas de
healthy, healthful	saludable
afterward	después
to wash	lavar
to be located	estar ubicado(a)
to close	cerrar
to begin	empezar
to think	pensar
to lunch	almorzar
to find	encontrar
to remember	recordar
to play, to play (a sport)	jugar
to lose	perder
to want	querer
to have	tener
to return (something), to give back	devolver
to be able, can, may	poder
to do, to make	hacer
to put	poner
to know (a fact), to know how	saber
to see	ver
to lie	mentir
to prefer	preferir
to come	venir
to ask for, to request	pedir
to repeat	repetir
to follow, to continue	seguir
to serve	servir
to smile	sonreír
to sleep	dormir
to hear	oír
to leave, to exit, to go out	salir
to speak by (on the) phone	hablar por teléfono
to arrive on time	llegar a tiempo
to think about	pensar en
to be impossible	ser imposible
to be safe	ser seguro
to get on the train	subir al tren
to take a seat	tomar asiento
the rush hour	la hora pico
the crowd	la muchedumbre
the basement	el sótano
near me	cerca de mí
at my side	a mi lado
at times	a veces
fortunately	afortunadamente
completely	completamente
again	de nuevo
after (doing something)	después de + infinitive
free (in cost)	gratis
toward	hacia
luckily	menos mal
better	major
to accept	aceptar
to turn off	apagar
to arrange, to fix	arreglar
to change	cambiar
to celebrate	celebrar
to cross	cruzar
to draw	dibujar
to enjoy	disfrutar
to turn, to fold	doblar
to explain	explicar
to sign	firmar
to cry	llorar
to drive	manejar
to dial, to mark	marcar
to need	necesitar
to stop	parar
to paint	pintar
to prepare	preparar
to review	repasar
to finish	terminar
to throw	tirar
to use	usar
to be years old	tener años
to be hot	tener calor
to be jealous	tener celos
to be careful	tener cuidado
to be at fault	tener la culpa
to have a (head)ache, (stomach)ache, etc.	tener dolor de (cabeza, estómago, etc.)
to be envious	tener envidia
to be successful, to have success	tener éxito
to be cold	tener frío
to want, to desire	tener ganas de
to be hungry	tener hambre
to have the floor	tener la palabra
to take place	tener lugar
to be afraid of	tener miedo de
to be in a hurry	tener prisa
to have to do with	tener que ver con
to be in a rage, to be very angry	tener rabia
to be right	tener razón
to be thirsty	tener sed
to be sleepy	tener sueño
to be lucky, to have luck	tener suerte
to be ashamed	tener vergüenza
to have just (done something)	acabar de + infinitive
to stop (doing something)	dejar de + infinitive
to have to (do something)	tener que + infinitive
to try to (do something)	tratar de + infinitive
to do (something) again	volver a + infinitive
parts of the body	las partes del cuerpo
the joint	la articulación
the beard	la barba
the chin	la barbilla
the mouth	la boca
the arm	el brazo
the hair	el cabello
the head	la cabeza
the hip	la cadera
the face	la cara
the eyebrow	la ceja
the waist	la cintura
the elbow	el codo
the spine	la columna
the neck	el cuello
the finger	el dedo
the toe	el dedo del pie
the tooth	el diente
the gums	las encías
the back	la espalda
the forehead	la frente
the throat	la garganta
the shoulder	el hombro
the tongue	la lengua
the cheek	la mejilla
the wrist	la muñeca
the thigh	el muslo
the buttocks	las nalgas
the nose	la nariz
the nape	la nuca
the inner ear	el oído
the eye	el ojo
the ear	la oreja
the eyelid	el párpado
the chest	el pecho
the eyelash	la pestaña
the foot	el pie
the leg	la pierna
the thumb	el pulgar
the jaw	la quijada
the knee	la rodilla
the breasts	los senos
the heel	el talón
the ankle	el tobillo
the nail	la uña
inside the body	dentro del cuerpo
the tonsils	las amígdalas
the artery	la arteria
the brain	el cerebro
the heart	el corazón
the ribs	las costillas
the stomach	el estómago
the liver	el hígado
the bone	el hueso
the muscle	el músculo
the lung	el pulmón
the kidney	el riñón
the blood	la sangre
the tendon	el tendón
the veins	las venas
the great-grandparents	los bisabuelos
the great-grandfather	el bisabuelo
the great-grandmother	la bisabuela
the grandparents	los abuelos
the grandfather	el abuelo
the grandmother	la abuela
the parents	los padres
the father	el padre
the mother	la madre
the relatives	los parientes
the (male) relative	el pariente
the (female) relative	la pariente
the uncle, the aunt	el tío, la tía
the husband, the wife	el esposo / el marido, la esposa
the son, the daughter	el hijo, la hija
the brother, the sister	el hermano, la hermana
the grandson, the granddaughter	el nieto, la nieta
the (male) cousin, the (female) cousin	el primo, la prima
the nephew, the niece	el sobrino, la sobrina
the father-in-law, the mother-in-law	el suegro, la suegra
the son-in-law, the daughter-in-law	el yerno, la nuera
the brother-in-law, the sister-in-law	el cuñado, la cuñada
the stepfather, the stepmother	el padrastro, la madrastra
the godfather, the godmother	el padrino, la madrina
the godson, the goddaughter	el ahijado, la ahijada
to appear	aparecer
to fit	caber
to confess	confesar
to disappear	desaparecer
to emerge	emerger
to choose	escoger
to achieve, to succeed in (+ infinitive)	lograr
to fill	llenar
upon listening, upon hearing	al escuchar
to give advice	dar consejos
to be nervous, fidgety	estar inquieto
to be calm	estar tranquilo
it seems	parece
it continues in this way	sigue así
the last name, the surname	el apellido
the appointment	la cita
the doctor’s office	el consultorio
the schedule	el horario
the phone call	la llamada
the majority	la mayoría
the style, the fashion	la moda
the name	el nombre
the patient	el paciente
the character	el personaje
the watch	el reloj
the corner	el rincón
the waiting room	la sala de espera
the secretary	la secretaria
medical insurance	los seguros medicos
common	común
broken	roto
alone	solo
frequently	a menudo
at the end	al final
before (doing something)	antes de + infinitive
like any (whatever) other	como cualquier otra
right away	en seguida
meanwhile	mientras tanto
at last	por fin
for a little while	por un rato
the Spanish restaurant, the Spanish meal	el restaurante español, la comida española
the English man, the English woman	el hombre ingles, la mujer inglesa
the French wine, the French beer	el vino francés, la cerveza francesa
the German writer (m.), the German writer (f.)	el escritor alemán, la escritora alemana
the Japanese boy, the Japanese girl	el muchacho japonés, la muchacha japonesa
the Dutch child (m.), the Dutch child (f.)	el niño holandés, la niña holandesa
the Cuban man, the Cuban woman	el hombre cubano, la mujer cubana
the Chilean boy, the Chilean girl	el muchacho chileno, la muchacha chilena
the North American child (m.), the North American child (f.)	el niño norteamericano, la niña norteamericana
the Swiss friend (m.), the Swiss friend (f.)	el amigo suizo, la amiga suiza
the Canadian man, the Canadian woman	el hombre canadiense, la mujer canadiense
the Hindu child (m.), the Hindu child (f.)	el niño hindú, la niña hindú
the Israeli man, the Israeli woman	el hombre israelí, la mujer israelí
Germany, German	Alemania, alemán
Saudi Arabia, Saudi	Arabia Saudita, saudí / saudita
Argentina, Argentinian	(la) Argentina, argentino
Austria, Austrian	Austria, austriaco
Belgium, Belgian	Bélgica, belga
Bolivia, Bolivian	Bolivia, boliviano
Brazil, Brazilian	(el) Brasil, brasileño
Canada, Canadian	(el) Canadá, canadiense
Chile, Chilean	Chile, chileno
China, Chinese	China, chino
Colombia, Colombian	Colombia, colombiano
Korea, Korean	Corea, coreano
Costa Rica, Costa Rican	Costa Rica, costarricense
Cuba, Cuban	Cuba, cubano
Denmark, Danish	Dinamarca, danés
Ecuador, Ecuadorian	(el) Ecuador, ecuatoriano
Egypt, Egyptian	Egipto, egipcio
Scotland, Scottish	Escocia, escocés
Spain, Spanish	España, español
USA, American	(los) Estados Unidos, norteamericano / estadounidense
Finland, Finnish	Finlandia, finlandés
France, French	Francia, francés
Greece, Greek	Grecia, griego
Guatemala, Guatemalan	Guatemala, guatemalteco
Haiti, Haitian	Haití, haitiano
The Netherlands, Dutch	Holanda, holandés
Honduras, Honduran	Honduras, hondureño
Hungary, Hungarian	Hungría, húngaro
India, Indian	(la) India, hindú
England, English	Inglaterra, inglés
Iraq, Iraqi	Irak / Iraq, iraquí
Iran, Iranian	Irán, iraní
Ireland, Irish	Irlanda, irlandés
Israel, Israeli	Israel, israelí
Italy, Italian	Italia, italiano
Jamaica, Jamaican	Jamaica, jamaiquino
Japan, Japanese	Japón, japonés
Morocco, Moroccan	Marrueco, marroquí
Mexico, Mexican	México, mexicano
Nicaragua, Nicaraguan	Nicaragua, nicaragüense
Norway, Norwegian	Noruega, noruego
New Zealand, New Zealander	Nueva Zelanda, neocelandés
Pakistan, Pakistani	Pakistán, pakistaní
Panama, Panamanian	(el) Panamá, panameño
Paraguay, Paraguayan	(el) Paraguay, paraguayo
Peru, Peruvian	(el) Perú, peruano
Poland, Polish	Polonia, polaco
Portugal, Portuguese	Portugal, portugués
Puerto Rico, Puerto Rican	Puerto Rico, puertorriqueño
Dominican Republic, Dominican	(la) República dominicano, Dominicana
Russia, Russian	Rusia, ruso
El Salvador, El Salvadorean	El Salvador, salvadoreño
Syria, Syrian	Siria, sirio
Sudan, Sudanese	Sudán, sudanés
Sweden, Swedish	Suecia, sueco
Switzerland, Swiss	(la) Suiza, suizo
Thailand, Thai	Tailandia, tailandés
Taiwan, Taiwanese	Taiwán, taiwanés
Turkey, Turkish	Turquía, turco
Uruguay, Uruguayan	(el) Uruguay, uruguayo
Venezuela, Venezuelan	Venezuela, venezolano
Vietnam, Vietnamese	Vietnám, vietnamita
Yemen, Yemeni	Yemen, yemení
Africa, African	África, africano
Antarctic, Antarctic	Antártica, antártico
Arctic, Arctic	el Ártico, ártico
Asia, Asian	Asia, asiático
Australia, Australian	Australia, australiano
Europe, European	Europa, europeo
North America, North American	Norteamérica, norteamericano
South America, South American	Sudamérica, sudamericano
bad	malo
a lot of, much, many	mucho
a little bit, a few, not much, not many	poco
both	ambos
each	cada
several	varios
some	alguno
other, another	otro
all, every	todo
next	próximo
only	único
last, final	ultimo
her former boyfriend	su antiguo novio
an ancient civilization	una civilización antigua
a certain day	cierto día
a sure thing	una cosa cierta
the great man, the great woman	el gran hombre, la gran mujer
the big man, the big woman	el hombre grande, la mujer grande
the poor, unfortunate little boy	el pobre niño
the poor man (without money)	el hombre pobre
the same book, the same idea	el mismo libro, la misma idea
the professor himself	el profesor mismo
the longtime friends	los viejos amigos
the old friends (in years)	los amigos viejos
the best (sing.)	el mejor, la major
the best (pl.)	los mejores, las mejores
worse	peor
the worst (sing.)	el peor, la peor
the worst (pl.)	los peores, las peores
younger	menor
the youngest (sing.)	el menor, la menor
the youngest (pl.)	los menores, las menores
more + noun + than	más + nombre + que
less + noun + than	menos + nombre + que
as much + noun + as, as many + noun + as	tanto + nombre + como
more than	más que
less than	menos que
as much as	tanto como
clear, clearly	claro, claramente
rapid, rapidly	rápido, rápidamente
slow, slowly	lento, lentamente
frank, frankly	franco, francamente
honest, honestly	honesto, honestamente
intimate, intimately	íntimo, íntimamente
last, lastly	último, últimamente
happy, happily	alegre, alegremente
sad, sadly	triste, tristemente
easy, easily	fácil, fácilmente
frequent, frequently	frecuente, frecuentemente
a lot	mucho
so much	tanto
a little bit	poco
almost	casi
more	más
less	menos
too much	demasiado
well	bien
badly	mal
sometimes	a veces
now	ahora
right now	ahora mismo
always	siempre
still, yet; no, not yet	todavía
already	ya
no longer	ya no
early	temprano
late	tarde
here, there	aquí, allí
nearby	cerca
up, up there	en lo alto
far off	lejos
in front	adelante
in back, at the bottom	al fondo
in back	atrás
up, upstairs	arriba
down, downstairs	abajo
inside	adentro
outside	afuera
to the right	a la derecha
to the left	a la izquierda
straight ahead	derecho, recto
with care (instead of carefully)	con cuidado
without care (instead of carelessly)	sin cuidado
with affection (instead of affectionately)	con cariño
with difficulty	con dificultad
without difficulty	sin dificultad
with intelligence (instead of intelligently)	con inteligencia
upon entering	al entrar
to imagine	imaginar
the host / the hostess	el anfitrión / la anfitriona
the snack	el bocadillo
the bottle	la botella
the breeze	la brisa
the acquaintance	la conocida
the appetizer	el entremés
the guest	el invitado
the words (of a song)	la letra
the couple	la pareja
the soda	la soda, la gaseosa
the candle	la vela
the closet, the wardrobe	el vestuario
about	acerca de
on top of	encima de
the wrong hour	la hora equivocada
with themselves	consigo
loudly	en alto volumen
nothing	nada
no one	nadie
never	nunca
not one	ninguno
something	algo
someone	alguien
neither . . . nor . . .	no... ni... ni...
not more than (with numbers)	no más que
neither, either	tampoco
not . . . either	ni... tampoco
but rather	sino
you’re welcome, think nothing of it	de nada, por nada
you’re welcome, don’t mention it	no hay de que
not now	ahora no
not yet	todavía no
not even	ni siquiera
without + gerund + anything	sin + infinitive + nada
it’s not such a big deal	no es para tanto
almost never, hardly ever	casi nunca
more than anything	más que nada
nothing more, that’s all	nada más
at, to	a
with	con
of, from, about	de
in, on	en
for, in order to	para
without	sin
before	antes de
after	después de
instead of	en vez de
in addition to	además de
in spite of	a pesar de
against	contra
between, among	entre
except	excepto
according to	según
above, on top of, about (a theme or topic)	sobre
until	hasta
since; from (a point of departure in place or time)	desde
next to	al lado de
around	alrededor de
near	cerca de
underneath	debajo de
under (more figurative than debajo de)	bajo
before, in front of (physical location)	delante de
before, in front of, in the presence of	ante
inside of	dentro de
behind	detrás de
after (in a set of expressions)	tras
in front of, opposite, facing, across from	enfrente de, frente a
outside of	fuera de
close to, right next to	junto a, pegado a
far from	lejos de
for me	para mí
for you	para ti
between you and me	entre tú y yo
except you and me	menos tú y yo
according to you	según tú
including me	incluso yo
except me	salvo yo
with me	conmigo
with you	contigo
with yourself, with himself, with herself, with themselves	consigo
around here	por acá, por aquí
around there	por allá, por allí
for now	por ahora
by chance	por casualidad
usually	por lo común
for example	por ejemplo
therefore, for this reason	por eso
please	por favor
finally	por fin
for the first time	por primera vez
of course	por supuesto
everywhere	por todas partes
in the morning (imprecise time)	por la mañana
in the afternoon	por la tarde
in the evening	por la noche
although	aunque
the circus	el circo
the colleague	el colega
the limit	el colmo
the rehearsal	el ensayo
the tour	la gira
to indicate	indicar
the interest	el interés
free (as in time)	libre
the northeast	el noreste
what is there to do	qué hay que hacer
single	soltera
the ticket	el tiquete
anyway	de todos modos
the trapeze artist	el trapecista
the box	la caja
the post office	el correo
the human rights	los derechos humanos
the judge	el / la juez
the law	la ley
the news	las noticias
the bus stop	la parada
the witness	el / la testigo
the neighbor	el vecino
the dawn	el alba (f.)
the sky	el cielo
the hill	la colina
the desert	el desierto
the star	la estrella
the flood	la inundación
the lake	el lago
the rain	la lluvia
the moon	la luna
the dawn, early morning	la madrugada
the sea	el mar
the mountains	las montañas
the snow	la nieve
the clouds	las nubes
the sunset	el ocaso
the ocean	el océano
the lightning	el relámpago
the river	el río
the sun	el sol
the tremor	el temblor
the storm	la tempestad
the earthquake	el terremoto
the earth	la tierra
the thunder	el trueno
the wind	el viento
What’s the weather like?	¿Qué tiempo hace?
The weather is good	Hace buen tiempo
The weather is bad	Hace mal tiempo
It’s hot	Hace calor
It’s cold	Hace frío
It’s cool	Hace fresco
It’s sunny	Hace sol
It’s windy	Hace viento
It’s muddy	Hay lodo
The stars are out	Hay estrellas
The moon is out	Hay luna
It’s foggy	Hay neblina
It’s cloudy	Hay nubes
It’s dusty	Hay polvo
to look for	buscar
to converse	converser
to pretend	finger
to function, to work	funcionar
to call	llamar
to send	mandar
to greet	saludar
the change	el cambio
the computer	la computadora
the answering machine	la contestadora
e-mail	el correo electrónico
the little room	el cuartito
the deposit	el depósito
the worker	el empleado
the effort	el esfuerzo
the space	el espacio
the invoice, bill	la facture
the printer	la impresora
the boss	el jefe
the fax machine	la máquina de facsimile
the world	el mundo
the reason	la razón
the voice	la voz
impressive	impresionante
dark	oscuro
after all	al fin y al cabo
face to face, in person	cara a cara
he is only twenty steps away	está a sólo veinte pasos
the day after tomorrow	pasado mañana
I have a lot to do	tengo mucho que hacer
all that is necessary	todo lo necesario
to be pleasing to	agradar
to suit someone, to be convenient (for)	convenir
to be painful, to hurt	doler
to be enchanting to, to like very much	encantar
to be lacking (something), to be missing (something)	faltar
to fascinate, to be fascinating (to)	fascinar
to need (something)	hacer falta
to be important to, to matter	importar
to be interesting (to)	interesar
to bother, to annoy	molestar
to seem, to appear to be	parecer
to be left over, to remain	quedar
to remain to be	quedar por + an infinitive
to have more than enough of (something)	sobrar
to be someone’s turn	tocarle a alguien
to charge (money)	cobrar
to relate, to tell a story, to count	contar
to count on, to rely on	contar con
to give	dar
to say, to tell	decir
to teach	enseñar
